,id,name,address,crossStreet,lat,lng,postalCode,cc,city,state,country,category_id,category_name,venuePage,neighborhood
3504,4c0427bd39d476b0a71c31a7,Pecan Foods,,,32.37064427615034,-97.65795807761738,76049,US,Granbury,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
4505,4c8bda6f55fba093d3035aab,Brookshire Brothers,305 NE 4th St,,31.850478055305036,-96.79514670093936,76648,US,Hubbard,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
5917,4ba1f9e0f964a5207cd437e3,Walmart Supercenter,2021 N State Highway 121,,33.5964020881938,-96.19404048961444,75418,US,Bonham,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
5921,4c0932f3ed259521a7ea1256,Brookshire's,1310 N Brazos St,,31.96328269511484,-97.32280013116255,76692,US,Whitney,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
5926,57a9f721498e2da69487b124,David's,205 Austin Rd,,32.23099,-97.752301,76043,US,Glen Rose,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
6176,4c5ed58e7735c9b6bdc69272,Target,150 E Stacy Rd,at N. Central Expy.,33.12390783366084,-96.66174541672487,75002,US,Allen,TX,United States,52f2ab2ebcbc57f1066b8b42,Big Box Store,,
7470,4b0cac55f964a520d34023e3,Central Market,1425 E Southlake Blvd,at S. Carroll Ave.,32.938872,-97.13128,76092,US,Southlake,TX,United States,4bf58dd8d48988d1f5941735,Gourmet Shop,,
7671,4c2fc23966e40f478787c28b,Walmart Supercenter,1341 Highway 287 N,,33.540098808434145,-97.83681925363058,76230,US,Bowie,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
7695,4b242fadf964a520376324e3,Walmart Supercenter,1800 Lawrence St,,33.64500851,-97.13594555,76240,US,Gainesville,TX,United States,52f2ab2ebcbc57f1066b8b46,Supermarket,,
8587,4b4a0b16f964a520d27826e3,Tom Thumb,5968 W Parker Rd,Tollway,33.04298756835429,-96.82860850692578,75093,US,Plano,TX,United States,4bf58dd8d48988d118951735,Grocery Store,,
